dataset,seed,split,threshold,train_macro_f1,validation_macro_f1,validation_auc,test_macro_f1,test_auc,training_seconds,status
UAE,1,0,0.4102484445815498,1.0,0.7578905040949868,0.9349921789280187,0.7539392112391157,0.9250144499872304,0.0,ok
UAE,2,0,0.17265086538605054,1.0,0.663596412955374,0.9356384746705678,0.6546791423508387,0.9244935783545121,0.0,ok
UAE,3,0,0.2623956199875137,1.0,0.8374761281481705,0.9315585714699842,0.8328341586471083,0.9285437259381026,0.0,ok
UAE,4,0,0.2655976164210219,1.0,0.8420382626395267,0.9278126373750742,0.839111144141106,0.9324414666796342,0.0,ok
UAE,5,0,0.3708487777499955,0.898989898989899,0.831596052734157,0.9332631640812851,0.8193146726772647,0.9270678900330274,0.0,ok
china,1,0,0.3395329565535637,1.0,0.594558466880464,0.7380706448853439,0.5823133910393723,0.6757467383572926,0.0,ok
china,2,0,0.23722702668433873,0.48936170212765956,0.553133817744107,0.7148325298114873,0.5418704368496775,0.7013907607067984,0.0,ok
china,3,0,0.2978896389045896,1.0,0.5709836628926925,0.6868988131352726,0.5804491013841575,0.7267791629230308,0.0,ok
china,4,0,0.25570924543782814,1.0,0.5551515822745784,0.7274113354055884,0.5607847592216024,0.6866588518268942,0.0,ok
china,5,0,0.13346906552926444,0.55,0.39789598227633083,0.7131613892962851,0.3947870120108014,0.7017173929320155,0.0,ok
cuba,1,0,0.3040761385449214,1.0,0.6047356517049085,0.9759790536255374,0.6030112124270237,0.9706767170630509,0.0,ok
cuba,2,0,0.33801906038697094,1.0,0.6622924003166687,0.9790685998167853,0.6685414844591345,0.9674906783973801,0.0,ok
cuba,3,0,0.43780892012070427,1.0,0.8289018739641176,0.9822955570431965,0.7799728517206905,0.9642901995070197,0.0,ok
cuba,4,0,0.41230882979364375,1.0,0.7792477263318158,0.9692846698611798,0.7749391997937016,0.9772443938015555,0.0,ok
cuba,5,0,0.3559812799560024,1.0,0.7055578624939388,0.970787382848284,0.6917662526994093,0.9757574882410627,0.0,ok
iran,1,0,0.1695349883190134,0.5833333333333334,0.634692235960735,0.527640878198338,0.6444856252136172,0.5376028008058923,0.0,ok
iran,2,0,0.13905814247656267,0.8500000000000001,0.5904218707618939,0.5276513172755763,0.5939483808570095,0.536552358793664,0.0,ok
iran,3,0,0.35758646049057957,0.8295454545454546,0.5806877600018101,0.533371712293768,0.5798363100043753,0.5308674159039123,0.0,ok
iran,4,0,0.15986934532467884,0.6590909090909092,0.6279377262502721,0.5300409887297441,0.6339696487426659,0.5350824652026884,0.0,ok
iran,5,0,0.19824761360801002,0.7204968944099379,0.6350751747955737,0.5331561321902982,0.6436639364309258,0.5316858729267488,0.0,ok
russia,1,0,0.2112494571674694,1.0,0.7154817012858556,0.8603806286038063,0.72612484719429,0.8525283218284506,0.0,ok
russia,2,0,0.23818225497055823,1.0,0.7460688000518756,0.8352831383528313,0.7895728491485164,0.8750866994748489,0.0,ok
russia,3,0,0.40964194387282127,0.3333333333333333,0.7499591090585462,0.8573475985734761,0.7816151283374784,0.8576807477623278,0.0,ok
russia,4,0,0.1470486715264262,1.0,0.44400827318390945,0.828350498283505,0.44862877583465816,0.8820226574627605,0.0,ok
russia,5,0,0.11674442057818414,1.0,0.38272383354350564,0.8766456687664567,0.34996447461908897,0.8353865970868977,0.0,ok
venezuela,1,0,0.136607234270176,1.0,0.5646157983622013,0.9385712941872106,0.5545084121149562,0.9360734799135925,0.0,ok
venezuela,2,0,0.2606202568531056,1.0,0.8621330218128196,0.9303100243907356,0.8566134936754184,0.9438166686203259,0.0,ok
venezuela,3,0,0.19026641287087495,1.0,0.7069743796341592,0.9299001525260873,0.7123673707738682,0.9443542039955122,0.0,ok
venezuela,4,0,0.2943714101719659,1.0,0.8659538107820597,0.9388249443985297,0.8436648041646122,0.9355258971482158,0.0,ok
venezuela,5,0,0.19841437209472948,1.0,0.7364742263096342,0.9488802435042027,0.7295670834110841,0.9254600867424686,0.0,ok
