model,experiment_date,dataset,seed,split,threshold,train_macro_f1,validation_macro_f1,validation_auc,test_macro_f1,test_auc,training_seconds,status,source_file
anemone,2026-08-26,UAE,1,0,0.7357199900847307,0.4949494949494949,0.4515613507645628,0.4261280987944946,0.4647720796859025,0.4328047919399513,77.8658116810002,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,UAE,2,0,0.7138368650817833,0.6,0.3615453431644181,0.4279561924662765,0.3466269172780142,0.4119377057294693,330.39270075199966,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,UAE,3,0,0.7728431514488645,0.5238095238095238,0.4402005743645526,0.4103787352617766,0.4282497736949118,0.402413167634875,320.55052925699783,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,UAE,4,0,0.757271083843396,0.5833333333333333,0.454123955286746,0.4308685936803197,0.4534534968052475,0.4277178429470225,335.1113328880019,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,UAE,5,0,0.7761420636364184,0.4949494949494949,0.448213318257838,0.4159408497428914,0.4567289844879784,0.429920922395464,314.0570656639975,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,china,1,0,0.87198345149786,0.4893617021276595,0.4962311780336581,0.742085589945042,0.4936768654225135,0.7194750954627134,264.299562401,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,china,2,0,0.5882453221603353,1.0,0.5431774809160306,0.7114516966577895,0.5457542743964561,0.7123149240041928,259.7907813599995,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,china,3,0,0.6507875315865828,0.4893617021276595,0.5529960312757115,0.7004967817204638,0.5398119501577165,0.7132031016022762,261.2674729540013,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,china,4,0,0.5195990043091512,0.55,0.4559529077725137,0.7339992820842406,0.448504563669834,0.7105568190326446,259.67763436300083,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,china,5,0,0.6444813374051063,0.4893617021276595,0.5554939674679601,0.7243793519529118,0.5435524616494759,0.6966351733303383,249.6105181139974,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,cuba,1,0,0.8894608271795132,1.0,0.4940905448717949,0.1146558558241138,0.4936480944283285,0.1315762642963694,199.2988330419976,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,cuba,2,0,0.8092614676360429,1.0,0.4824529945181618,0.104735395673314,0.4837463328478677,0.1042435444537941,206.11628459799977,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,cuba,3,0,0.7981812054140798,1.0,0.4915345421540111,0.0953548904235078,0.491746159510373,0.1226136981721738,196.39548027199635,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,cuba,4,0,0.7861670227309635,1.0,0.488506329113924,0.0988469804805863,0.4886868686868686,0.0879339670404059,201.94830372999425,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,cuba,5,0,0.7860184830362932,1.0,0.4866520634527741,0.1195674194912268,0.4844898558348063,0.1228158613178324,207.5663287209973,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,iran,1,0,0.4696338479169166,0.6590909090909092,0.5792833195402054,0.5529013397546817,0.5868152016613146,0.5610605462473217,616.9463847369989,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,iran,2,0,0.4041405289391413,0.784688995215311,0.5200269583186731,0.5444887593507596,0.5228786635806932,0.5544052420394199,601.4553972760041,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,iran,3,0,0.410450965162099,0.7321428571428572,0.5443467228801462,0.555510933617557,0.5402957109302056,0.5502190270331103,597.8117552840049,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,iran,4,0,0.4527689844277939,0.6590909090909092,0.5697993023045701,0.5423946278227726,0.5634348537741989,0.5451311724390299,606.9960557209997,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,iran,5,0,0.4428930142408139,0.784688995215311,0.570614618474157,0.5480551516626861,0.5635374875792456,0.5393228100398559,595.0023114550058,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,russia,1,0,0.7516736860768535,1.0,0.6184774575018478,0.704696197046962,0.6372646549500756,0.7186313042903854,29.046105958004773,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,russia,2,0,0.6022698795968897,1.0,0.711055544168887,0.7377262273772623,0.6378872231770598,0.7054199557419824,30.43749819799996,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,russia,3,0,0.7042888708262042,1.0,0.6914575020380143,0.7321934473219345,0.6755090942050879,0.7066420054827096,30.85383835399989,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,russia,4,0,0.4950328753042166,1.0,0.5969119917653114,0.7267606572676066,0.6564731791725658,0.7419823628496878,29.24152840700117,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,russia,5,0,0.0451235843062019,1.0,0.2880721770143119,0.7199280071992801,0.286859076396911,0.7158569210952207,29.09593836799468,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
